game_datetime,team_home,team_away,odds_home,odds_away,outcome
2015-10-03 10:30:00,Los Angeles Clippers,Denver Nuggets,1.29,3.64,HOME
2015-10-04 07:00:00,Orlando Magic,Charlotte Hornets,1.76,2.12,AWAY
2015-10-04 07:00:00,Indiana Pacers,New Orleans Pelicans,1.51,2.65,AWAY
2015-10-05 06:00:00,Miami Heat,Charlotte Hornets,1.36,3.25,AWAY
2015-10-05 07:00:00,Toronto Raptors,Los Angeles Clippers,2.41,1.61,HOME
2015-10-05 09:00:00,Los Angeles Lakers,Utah Jazz,2.32,1.65,AWAY
2015-10-06 10:00:00,Portland Trail Blazers,Sacramento Kings,2.62,1.51,AWAY
2015-10-06 10:30:00,Golden State Warriors,Toronto Raptors,1.32,3.46,HOME
2015-10-07 07:00:00,Washington Wizards,Philadelphia 76ers,1.33,3.4,HOME
2015-10-07 07:30:00,Detroit Pistons,Indiana Pacers,2.53,1.55,AWAY
2015-10-07 08:00:00,Memphis Grizzlies,Houston Rockets,1.97,1.85,HOME
2015-10-07 08:00:00,Chicago Bulls,Milwaukee Bucks,1.8,2.01,HOME
2015-10-07 08:30:00,Dallas Mavericks,Denver Nuggets,2.43,1.58,AWAY
2015-10-07 12:00:00,Los Angeles Lakers,Utah Jazz,2.39,1.61,AWAY
2015-10-08 07:00:00,Cleveland Cavaliers,Atlanta Hawks,1.69,2.21,AWAY
2015-10-08 07:30:00,Miami Heat,Orlando Magic,1.58,2.43,AWAY
2015-10-08 08:00:00,Minnesota Timberwolves,Oklahoma City Thunder,2.89,1.43,AWAY
2015-10-08 08:00:00,Houston Rockets,Dallas Mavericks,1.52,2.6,HOME
2015-10-08 10:00:00,Phoenix Suns,Sacramento Kings,1.84,1.97,HOME
2015-10-09 07:00:00,Philadelphia 76ers,Cleveland Cavaliers,1.96,1.87,HOME
2015-10-09 07:00:00,Indiana Pacers,Orlando Magic,1.46,2.75,HOME
2015-10-09 07:30:00,Detroit Pistons,Brooklyn Nets,1.23,4.25,AWAY
2015-10-09 09:00:00,Denver Nuggets,Chicago Bulls,2.17,1.71,HOME
2015-10-09 10:00:00,Sacramento Kings,San Antonio Spurs,1.54,2.54,HOME
2015-10-09 10:00:00,Portland Trail Blazers,Golden State Warriors,2.9,1.42,HOME
2015-10-09 10:00:00,Los Angeles Lakers,Toronto Raptors,2.79,1.45,AWAY
2015-10-10 07:00:00,Washington Wizards,New York Knicks,1.35,3.29,AWAY
2015-10-10 07:00:00,New Orleans Pelicans,Atlanta Hawks,2.4,1.6,AWAY
2015-10-10 10:00:00,Phoenix Suns,Utah Jazz,1.65,2.32,HOME
2015-10-11 03:00:00,Philadelphia 76ers,Brooklyn Nets,2.56,1.54,HOME
2015-10-11 08:00:00,Minnesota Timberwolves,Chicago Bulls,2.33,1.62,AWAY
2015-10-11 08:30:00,Milwaukee Bucks,Detroit Pistons,1.51,2.62,AWAY
