win,lose,probability
,,
Cleveland Cavaliers,New York Knicks,0.881705944
,,
Golden State Warriors,San Antonio Spurs,0.672149953
,,
Portland Trail Blazers,Utah Jazz,0.56278574
,,
Boston Celtics,Brooklyn Nets,0.897065726
,,
Indiana Pacers,Dallas Mavericks,0.611711838
,,
Houston Rockets,Los Angeles Lakers,0.878937901
,,
Memphis Grizzlies,Minnesota Timberwolves,0.65754471
,,
Charlotte Hornets,Milwaukee Bucks,0.746783364
,,
Denver Nuggets,New Orleans Pelicans,0.547421478
,,
Miami Heat,Orlando Magic,0.6677358
,,
Oklahoma City Thunder,Philadelphia 76ers,0.970848057
,,
Sacramento Kings,Phoenix Suns,0.696553186
,,
Toronto Raptors,Detroit Pistons,0.728929616
,,
Atlanta Hawks,Washington Wizards,0.672757844
,,
Boston Celtics,Chicago Bulls,0.552483073
,,
Los Angeles Clippers,Portland Trail Blazers,0.588142654
,,
San Antonio Spurs,Sacramento Kings,0.850762226
,,
Indiana Pacers,Brooklyn Nets,0.854837673
,,
Dallas Mavericks,Houston Rockets,0.532974034
,,
Detroit Pistons,Orlando Magic,0.662570595
,,
Miami Heat,Charlotte Hornets,0.558287734
,,
Golden State Warriors,New Orleans Pelicans,0.901553731
,,
Oklahoma City Thunder,Phoenix Suns,0.919558372
,,
Toronto Raptors,Cleveland Cavaliers,0.51885464
,,
Utah Jazz,Los Angeles Lakers,0.874100927
,,
Chicago Bulls,Indiana Pacers,0.516760266
,,
Charlotte Hornets,Boston Celtics,0.547766713
,,
Cleveland Cavaliers,Orlando Magic,0.8533669
,,
Portland Trail Blazers,Denver Nuggets,0.797139229
,,
Milwaukee Bucks,Brooklyn Nets,0.677222942
,,
Memphis Grizzlies,New York Knicks,0.605171996
,,
Atlanta Hawks,Philadelphia 76ers,0.954460765
,,
Sacramento Kings,Minnesota Timberwolves,0.584340593
,,
San Antonio Spurs,New Orleans Pelicans,0.922792135
,,
Detroit Pistons,Milwaukee Bucks,0.728849758
,,
Houston Rockets,Dallas Mavericks,0.538803449
,,
Los Angeles Clippers,Utah Jazz,0.715012414
,,
Washington Wizards,Memphis Grizzlies,0.526347047
,,
San Antonio Spurs,Miami Heat,0.665639268
,,
Oklahoma City Thunder,Los Angeles Lakers,0.953461376
,,
Golden State Warriors,Phoenix Suns,0.943325179
,,
Atlanta Hawks,Sacramento Kings,0.767005924
,,
Chicago Bulls,Brooklyn Nets,0.842245009
,,
Los Angeles Clippers,Phoenix Suns,0.894216613
,,
Toronto Raptors,Denver Nuggets,0.835511093
,,
Cleveland Cavaliers,Houston Rockets,0.807735203
,,
Detroit Pistons,New York Knicks,0.715490125
,,
Indiana Pacers,Los Angeles Lakers,0.89853414
,,
Miami Heat,Sacramento Kings,0.751311863
,,
Memphis Grizzlies,Minnesota Timberwolves,0.646004819
,,
Milwaukee Bucks,New Orleans Pelicans,0.508018029
,,
Orlando Magic,Philadelphia 76ers,0.905411615
,,
Golden State Warriors,Portland Trail Blazers,0.773060689
,,
San Antonio Spurs,Utah Jazz,0.852524554
,,
Atlanta Hawks,Los Angeles Lakers,0.923200173
,,
Boston Celtics,Chicago Bulls,0.655944011
,,
Detroit Pistons,Brooklyn Nets,0.845432504
,,
Charlotte Hornets,Philadelphia 76ers,0.951188871
,,
Los Angeles Clippers,Oklahoma City Thunder,0.515849793
,,
Memphis Grizzlies,New Orleans Pelicans,0.643062281
,,
Houston Rockets,New York Knicks,0.637911422
,,
Portland Trail Blazers,Phoenix Suns,0.900339396
,,
Utah Jazz,Dallas Mavericks,0.552601277
,,
Toronto Raptors,Washington Wizards,0.657835527
,,
Cleveland Cavaliers,Boston Celtics,0.716969565
,,
Golden State Warriors,Oklahoma City Thunder,0.759994107
,,
Indiana Pacers,Milwaukee Bucks,0.706150348
,,
Denver Nuggets,Minnesota Timberwolves,0.564399196
,,
Orlando Magic,Sacramento Kings,0.544303369
,,
Charlotte Hornets,Brooklyn Nets,0.87844952
,,
Chicago Bulls,New York Knicks,0.704433002
,,
Portland Trail Blazers,Dallas Mavericks,0.689856233
,,
Golden State Warriors,Los Angeles Lakers,0.971391492
,,
Los Angeles Clippers,Memphis Grizzlies,0.678404722
,,
New Orleans Pelicans,Phoenix Suns,0.617332682
,,
Toronto Raptors,Miami Heat,0.669594392
,,
San Antonio Spurs,Utah Jazz,0.759802231
,,
Atlanta Hawks,Washington Wizards,0.568557474
,,
Atlanta Hawks,Houston Rockets,0.679821815
,,
Detroit Pistons,Denver Nuggets,0.696484248
,,
Indiana Pacers,Chicago Bulls,0.578660175
,,
Sacramento Kings,Milwaukee Bucks,0.552338658
,,
Oklahoma City Thunder,Minnesota Timberwolves,0.882021621
,,
Washington Wizards,Orlando Magic,0.572759062
,,
Cleveland Cavaliers,Philadelphia 76ers,0.974735361
,,
San Antonio Spurs,Los Angeles Clippers,0.758737847
,,
Boston Celtics,Denver Nuggets,0.778523589
,,
Dallas Mavericks,Milwaukee Bucks,0.683954874
,,
Phoenix Suns,Los Angeles Lakers,0.696814539
,,
Portland Trail Blazers,Memphis Grizzlies,0.73199204
,,
Utah Jazz,New York Knicks,0.652665126
,,
Toronto Raptors,Sacramento Kings,0.829486552
,,
Chicago Bulls,Orlando Magic,0.650461557
,,
Charlotte Hornets,Indiana Pacers,0.615247876
,,
Golden State Warriors,New Orleans Pelicans,0.939085966
,,
Los Angeles Clippers,Detroit Pistons,0.696366116
,,
Oklahoma City Thunder,Miami Heat,0.700359956
,,
Utah Jazz,Philadelphia 76ers,0.933962563
,,
Washington Wizards,Houston Rockets,0.545338589
,,
Minnesota Timberwolves,Brooklyn Nets,0.694100967
,,
Cleveland Cavaliers,Atlanta Hawks,0.726619575
,,
Dallas Mavericks,Los Angeles Lakers,0.878173761
,,
Memphis Grizzlies,Denver Nuggets,0.600732554
,,
Portland Trail Blazers,Phoenix Suns,0.812627756
,,
Sacramento Kings,New Orleans Pelicans,0.568792541
,,
Atlanta Hawks,Chicago Bulls,0.650872614
,,
Charlotte Hornets,Utah Jazz,0.653184985
,,
Golden State Warriors,Dallas Mavericks,0.889013832
,,
Indiana Pacers,Philadelphia 76ers,0.938171764
,,
Los Angeles Clippers,Portland Trail Blazers,0.513192791
,,
New York Knicks,Brooklyn Nets,0.694953539
,,
Oklahoma City Thunder,Toronto Raptors,0.610783879
,,
Orlando Magic,Minnesota Timberwolves,0.614138153
,,
Detroit Pistons,Phoenix Suns,0.805922787
,,
San Antonio Spurs,Houston Rockets,0.860446639
,,
Boston Celtics,Washington Wizards,0.580305563
,,
Golden State Warriors,Denver Nuggets,0.878637358
,,
Miami Heat,Chicago Bulls,0.63111817
,,
Milwaukee Bucks,New Orleans Pelicans,0.503311282
,,
Sacramento Kings,Los Angeles Lakers,0.793920117
,,
Boston Celtics,New York Knicks,0.793912329
,,
Toronto Raptors,Charlotte Hornets,0.534441422
,,
Oklahoma City Thunder,Los Angeles Clippers,0.64860053
,,
Utah Jazz,Orlando Magic,0.580618578
,,
Indiana Pacers,Philadelphia 76ers,0.943366674
,,
Portland Trail Blazers,Sacramento Kings,0.680369045
,,
San Antonio Spurs,Detroit Pistons,0.840873124
,,
Cleveland Cavaliers,Washington Wizards,0.708096286
,,
Atlanta Hawks,Philadelphia 76ers,0.953698547
,,
Chicago Bulls,Washington Wizards,0.565350338
,,
Detroit Pistons,Denver Nuggets,0.643649604
,,
San Antonio Spurs,Houston Rockets,0.769812989
,,
Boston Celtics,Indiana Pacers,0.514628346
,,
Miami Heat,Utah Jazz,0.646257435
,,
Memphis Grizzlies,Milwaukee Bucks,0.624666913
,,
Los Angeles Clippers,Minnesota Timberwolves,0.804396727
,,
New Orleans Pelicans,Los Angeles Lakers,0.743014651
,,
Phoenix Suns,Brooklyn Nets,0.530020155
,,
Toronto Raptors,New York Knicks,0.847714733
,,
