,win,lose,probability,WTeam,LTeam,WLoc,Correct,Incorrect
0,Brooklyn Nets,Los Angeles Lakers,0.5893002940516017,Brooklyn Nets,Los Angeles Lakers,V,1,0
1,Philadelphia 76ers,Toronto Raptors,0.7928216119332326,Toronto Raptors,Philadelphia 76ers,H,0,1
2,Atlanta Hawks,Miami Heat,0.5825223350766828,Miami Heat,Atlanta Hawks,H,0,1
3,Boston Celtics,Orlando Magic,0.7846529216371783,Boston Celtics,Orlando Magic,H,1,0
4,Charlotte Hornets,Oklahoma City Thunder,0.6337479237378842,Charlotte Hornets,Oklahoma City Thunder,V,1,0
5,New Orleans Pelicans,Minnesota Timberwolves,0.6723724524200377,Minnesota Timberwolves,New Orleans Pelicans,H,0,1
6,Utah Jazz,San Antonio Spurs,0.8455018563291915,San Antonio Spurs,Utah Jazz,H,0,1
7,Phoenix Suns,Sacramento Kings,0.8173201002521026,Sacramento Kings,Phoenix Suns,H,0,1
8,Portland Trail Blazers,Golden State Warriors,0.5616448286136917,Golden State Warriors,Portland Trail Blazers,V,0,1
9,Denver Nuggets,Los Angeles Clippers,0.5251130424483036,Los Angeles Clippers,Denver Nuggets,H,0,1
10,New York Knicks,Indiana Pacers,0.691373370328278,New York Knicks,Indiana Pacers,H,1,0
11,Milwaukee Bucks,Memphis Grizzlies,0.6929479626349844,Memphis Grizzlies,Milwaukee Bucks,H,0,1
12,Washington Wizards,Houston Rockets,0.7227791418130541,Houston Rockets,Washington Wizards,H,0,1
13,Chicago Bulls,Cleveland Cavaliers,0.6816541093441699,Chicago Bulls,Cleveland Cavaliers,H,1,0
14,Phoenix Suns,Los Angeles Lakers,0.5438983355529015,Phoenix Suns,Los Angeles Lakers,H,1,0
15,San Antonio Spurs,Detroit Pistons,0.6303913848165082,Detroit Pistons,San Antonio Spurs,H,0,1
16,Atlanta Hawks,Cleveland Cavaliers,0.8103964336408129,Cleveland Cavaliers,Atlanta Hawks,V,0,1
17,New Orleans Pelicans,Orlando Magic,0.6948872349909625,New Orleans Pelicans,Orlando Magic,H,1,0
18,Utah Jazz,Dallas Mavericks,0.6963486030499473,Dallas Mavericks,Utah Jazz,H,0,1
19,Denver Nuggets,Golden State Warriors,0.6713672973550483,Golden State Warriors,Denver Nuggets,H,0,1
20,Los Angeles Clippers,Sacramento Kings,0.7550937842092973,Sacramento Kings,Los Angeles Clippers,V,0,1
21,Philadelphia 76ers,Toronto Raptors,0.7584490585886242,Philadelphia 76ers,Toronto Raptors,H,1,0
22,Memphis Grizzlies,Charlotte Hornets,0.6832392003601576,Memphis Grizzlies,Charlotte Hornets,V,1,0
23,Miami Heat,Houston Rockets,0.7993985181270126,Miami Heat,Houston Rockets,V,1,0
24,Indiana Pacers,Cleveland Cavaliers,0.6071832014249815,Indiana Pacers,Cleveland Cavaliers,V,1,0
25,Milwaukee Bucks,Brooklyn Nets,0.5900896199710782,Brooklyn Nets,Milwaukee Bucks,H,0,1
26,New Orleans Pelicans,Chicago Bulls,0.5364455076004001,Chicago Bulls,New Orleans Pelicans,H,0,1
27,Miami Heat,San Antonio Spurs,0.6458446366847962,Miami Heat,San Antonio Spurs,V,1,0
28,Los Angeles Clippers,Dallas Mavericks,0.5752781001625976,Dallas Mavericks,Los Angeles Clippers,H,0,1
29,Denver Nuggets,Minnesota Timberwolves,0.8493392013308587,Minnesota Timberwolves,Denver Nuggets,V,0,1
30,Los Angeles Lakers,Golden State Warriors,0.6294733878688802,Golden State Warriors,Los Angeles Lakers,H,0,1
31,New York Knicks,Washington Wizards,0.6218374953611564,New York Knicks,Washington Wizards,V,1,0
32,Boston Celtics,Toronto Raptors,0.6694720580984486,Boston Celtics,Toronto Raptors,H,1,0
33,Atlanta Hawks,Memphis Grizzlies,0.5955835281917612,Atlanta Hawks,Memphis Grizzlies,V,1,0
34,San Antonio Spurs,Orlando Magic,0.6557675751363673,San Antonio Spurs,Orlando Magic,V,1,0
35,Chicago Bulls,Cleveland Cavaliers,0.6291243894377541,Chicago Bulls,Cleveland Cavaliers,V,1,0
36,Milwaukee Bucks,Oklahoma City Thunder,0.8928070124496095,Milwaukee Bucks,Oklahoma City Thunder,H,1,0
37,Phoenix Suns,Los Angeles Lakers,0.6770000102012815,Phoenix Suns,Los Angeles Lakers,V,1,0
38,Toronto Raptors,Houston Rockets,0.7175002314792986,Toronto Raptors,Houston Rockets,H,1,0
39,Miami Heat,Charlotte Hornets,0.666990490765762,Miami Heat,Charlotte Hornets,H,1,0
